Activity,Name,Address,Mon hrs,Tue hrs,Wed hrs,Thu hrs,Fri hrs,Coordinates,,
Study,Sterling C. Evans Library ,"400 Spence St, College Station, TX ",7:00 am - 12:00 am,7:00 am - 12:00 am,7:00 am - 12:00 am,7:00 am - 12:00 am,7:00 am - 7:00 pm,"30.61706, -96.33895",,
Study,West Campus Library (WCL),"214 Olsen Blvd, College Station, TX ",7:00 am - 11:00 pm,7:00 am - 11:00 pm,7:00 am - 11:00 pm,7:00 am - 11:00 pm,7:00 am - 5:00 pm,"30.61169, -96.34998",,
Study,Medical Sciences Library,"202 Olsen Blvd, College Station, TX ",7:00 am - 12:00 am,7:00 am - 12:00 am,7:00 am - 12:00 am,7:00 am - 12:00 am,7:00 am - 9:00 pm,"30.61198, -96.35166",,
Study,Annex,"400 Spence St, College Station, TX ",7:00 am - 3:00 am,7:00 am - 3:00 am,7:00 am - 3:00 am,7:00 am - 3:00 am,7:00 am - 7:00 pm,"30.61614, -96.33827",,
Study,Zachry Engineering Education Complex,"125 Spence St, College Station, TX ",7:00 am - 2:00 am,7:00 am - 2:00 am,7:00 am - 2:00 am,7:00 am - 2:00 am,7:00 am - 12:00 am,"30.62127, -96.34040",,
Study,Memorial Student Center (MSC),"275 Joe Routt Blvd, College Station, TX ",7:00 am - 12:00 am,7:00 am - 12:00 am,7:00 am - 12:00 am,7:00 am - 12:00 am,7:00 am - 12:00 am,"30.61228, -96.34151",,
Study,Innovative Learning Classroom Building (ILCB),"215 Lamar St, College Station, TX ",7:15 am - 11:00 pm,7:15 am - 11:00 pm,7:15 am - 11:00 pm,7:15 am - 11:00 pm,7:15 am - 8:00 pm,"30.61200, -96.34452",,
Study,Policy Sciences & Economics Library,Policy Sciences & Economics Library,8:00 am - 5:00 pm,8:00 am - 5:00 pm,8:00 am - 5:00 pm,8:00 am - 5:00 pm,8:00 am - 5:00 pm,"30.59752, -96.35355",,
Study,Student Computing Center (SCC),"400 Spence St, College Station, TX ",24/7,24/7,24/7,24/7,24/7,"30.61600, -96.33806",,
Study,Southside Community Learning Center (CLC),"676 Lubbock St, College Station, TX ",24/7,24/7,24/7,24/7,24/7,"30.61564, -96.33610",,
Study,Wayne Roberts ’85,"256 Olsen Blvd, College Station, TX ",7:00 am - 12:00 pm,7:00 am - 12:00 pm,7:00 am - 12:00 pm,7:00 am - 12:00 pm,7:00 am - 12:00 pm,"30.61092, -96.35056",,
Study,Northside Community Learning Center (CLC),"306 University Dr, College Station, TX ",24/7,24/7,24/7,24/7,24/7,"30.61671, -96.34633",,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
